Source Title (Medline-sourced journals are indicated in Green),Print-ISSN,E-ISSN,Publisher imprints grouped to main Publisher
International Journal of Early Childhood Special Education,13085581 ,,International Journal of Early Childhood Special Education
International Journal of Early Years Education,09669760,,Taylor & Francis
International Journal of Earth Sciences,14373254,14373262,Springer
International Journal of Earth Sciences and Engineering,09745904 ,,Cafet-Innova Technical Society
International Journal of Eating Disorders,02763478,1098108X,Wiley-Blackwell
International Journal of e-Business Research,15481131 ,1548114X ,Idea Group Publishing
International Journal of Ecodynamics,17435242,,WIT Press
International Journal of e-Collaboration,15483673 ,15483681 ,Idea Group Publishing
International Journal of Ecology,16879708,16879716,Hindawi
International Journal of Ecology and Development,09729984,09737308,Indian Society for Development and Environment Research (ISDER)
International Journal of Ecology and Environmental Sciences,0377015X,,International Scientific Publications
International Journal of Economic Perspectives,,13071637 ,International Economic Society Ltd.
International Journal of Economic Policy in Emerging Economies,17520452 ,17520460 ,Inderscience
International Journal of Economic Research,09729380,,Serials Publications
International Journal of Economic Theory,17427355,17427363,Wiley-Blackwell
International Journal of Economics and Management,1823836X,,Universiti Putra Malaysia
International Journal of Educational Advancement,17446503,17446511,Macmillan
International Journal of Educational Development,07380593,,W.I. Ozanne and Associates
International Journal of Educational Management,0951354X,,Emerald
International Journal of Educational Organization and Leadership,23291656 ,23291591 ,Common Ground Publishing
International Journal of Educational Research,08830355,,Elsevier
International Journal of E-Health and Medical Communications,1947315X ,,IGI Global Publishing
International Journal of Electric and Hybrid Vehicles,17514088,,Inderscience
International Journal of Electrical Engineering,18123031,,"Nova Science Publishers, Inc."
International Journal of Electrical Engineering Education,00207209,,Manchester University Press
International Journal of Electrical Power and Energy Systems,01420615,,Elsevier
International Journal of Electrochemical Science,14523981 ,,"Electrochemical Science Group, University of Belgrade"
International Journal of Electronic Commerce,10864415,,M.E. Sharpe Inc.
International Journal of Electronic Customer Relationship Management,17500664,17500672,Inderscience
International Journal of Electronic Government Research,15483886 ,15483894 ,Idea Group Publishing
International Journal of Electronic Healthcare,17418453,17418461,Inderscience
International Journal of Electronic Marketing and Retailing,17411025,17411033,Inderscience
International Journal of Electronic Security and Digital Forensics,1751911X ,17519128 ,Inderscience
International Journal of Electronics,00207217,13623060,Taylor & Francis
International Journal of Electronics and Telecommunications,20818491 ,,Elsevier
International Journal of Embedded and Real-Time Communication Systems,19473176 ,19473184 ,IGI Global Publishing
International Journal of Embedded Systems,17411068 ,17411076 ,Inderscience
International Journal of Emergency Management,14714825,,Inderscience
International Journal of Emergency Medicine,18651372 ,,
International Journal of Emergency Mental Health,15224821,,Chevron Publishing Corporation
International Journal of Emerging Electric Power Systems,1553779X,,Walter de Gruyter
International Journal of Emerging Multidisciplinary Fluid Sciences,17568315 ,,Multi-Science Publishing Co Ltd.
International Journal of Emerging Technologies in Learning,18688799 ,18630383 ,Kassel University Press
International Journal of Endocrinology,16878337 ,16878345 ,Hindawi
International Journal of Endocrinology and Metabolism,1726913X ,17269148 ,Kowsar
International Journal of Energetic Materials and Chemical Propulsion,2150766X ,,Begell House
International Journal of Energy and Environmental Engineering,20089163 ,22516832 ,Springer
International Journal of Energy for a Clean Environment,21503621 ,2150363X ,Begell House Inc.
International Journal of Energy Research,0363907X,,Wiley-Blackwell
International Journal of Energy Sector Management,17506220,,Emerald
International Journal of Energy Technology and Policy,14728923,1741508X,Inderscience
"International Journal of Energy, Environment and Economics",1054853X ,,"Nova Science Publishers, Inc."
International Journal of Engine Research,14680874,,Professional Enjineering Publishing Ltd.
International Journal of Engineering and Technology,09754024 ,,Engg Journals Publications
International Journal of Engineering Business Management,18479790 ,,InTech
International Journal of Engineering Education,0949149X,,Dublin Institute of Technology Tempus Publications
International Journal of Engineering Intelligent Systems for Electrical Engineering and Communications,09691170,,C R L Publishing Ltd.
International Journal of Engineering Research in Africa,16633571 ,,Trans Tech Publications
International Journal of Engineering Science,00207225,,Elsevier
International Journal of Engineering Systems Modelling and Simulation,17559758 ,17559766 ,Inderscience
"International Journal of Engineering, Transactions A: Basics",10252495,,National Center for Scientific Research
"International Journal of Engineering, Transactions B: Applications",10252495,,National Center for Scientific Research
International Journal of English Studies,15787044 ,,Universidad de Murcia
International Journal of Enterprise Information Systems,15481115 ,15481123 ,Idea Group Publishing
International Journal of Enterprise Network Management,17481252 ,17481260 ,Inderscience
International Journal of Entrepreneurial Behaviour and Research,13552554,,Emerald
International Journal of Entrepreneurial Venturing,17425360 ,17425379 ,Inderscience
International Journal of Entrepreneurship,10999264,,Academy of Entrepreneurship
International Journal of Entrepreneurship and Innovation Management,1368275X,17415098,Inderscience
International Journal of Entrepreneurship and Small Business,14761297,17418054,Inderscience
International Journal of Environment and Health,17434955 ,17434963 ,Inderscience
International Journal of Environment and Pollution,09574352,,Inderscience
International Journal of Environment and Sustainable Development,14746778,14787466,Inderscience
International Journal of Environment and Waste Management,14789876,14789868,Inderscience
"International Journal of Environment, Workplace and Employment",17418437,17418445,Inderscience
International Journal of Environmental Analytical Chemistry,03067319,10290397,Taylor & Francis
International Journal of Environmental and Science Education,13063065,,
International Journal of Environmental Health Research,09603123,13691619,Taylor & Francis
International Journal of Environmental Research,17356865,,University of Tehran
International Journal of Environmental Research and Public Health,16617827,16604601,Multidisciplinary Digital Publishing Institute (MDPI)
International Journal of Environmental Science and Technology,17351472,,Islamic Azad University of Research and Technology
International Journal of Environmental Studies,00207233,10290400,Taylor & Francis
"International Journal of Environmental Studies, Section A",00207233,10290400,Taylor & Francis
"International Journal of Environmental Studies, Section B: Environmental Science & Technology",00207233,10290400,Taylor & Francis
International Journal of Environmental Sustainability,23251077 ,23251085 ,Common Ground Publishing
International Journal of Environmental Technology and Management,14662132,1741511X,Inderscience
"International Journal of Environmental, Cultural, Economic and Social Sustainability",18322077 ,,Common Ground Publisher
International Journal of Epidemiology,03005771,,OUP
International Journal of Essential Oil Therapeutics,,,Essential Oil Resource Consultants
International Journal of Euro-Mediterranean Studies,18553362 ,22326022 ,Springer
International Journal of Evidence-Based Healthcare,17441595 ,17441609 ,Wiley-Blackwell
